>FR666706_S002222816;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Bryocella,s:Bryocella_elongata;	>FR666706_S002222816;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Bryocella,s:Bryocella_elongata;
>CP000360_S004064497;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Candidatus_Koribacter;	>CP000360_S004064497;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Candidatus_Koribacter;
>DQ528761_S000701761;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Edaphobacter,s:Edaphobacter_aggregans;	>DQ528761_S000701761;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Edaphobacter,s:Edaphobacter_aggregans;
>DQ528760_S002350431;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Edaphobacter,s:Edaphobacter_modestus;	>DQ528760_S002350431;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Edaphobacter,s:Edaphobacter_modestus;
>AJ536862_S000141544;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AJ536862_S000141544;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AF523985_S000431349;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AF523985_S000431349;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457351_S000834776;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457351_S000834776;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AY234578_S000403511;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AY234578_S000403511;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457377_S000834802;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457377_S000834802;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457401_S000834826;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457401_S000834826;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AY326556_S000140298;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AY326556_S000140298;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AY326564_S000139343;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AY326564_S000139343;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AY326565_S000140951;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AY326565_S000140951;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457391_S000834816;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457391_S000834816;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457411_S000834836;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457411_S000834836;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AF523990_S000431354;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AF523990_S000431354;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457344_S000834769;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457344_S000834769;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AY043842_S000354218;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AY043842_S000354218;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457386_S000834811;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457386_S000834811;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457390_S000834815;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457390_S000834815;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457384_S000834809;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457384_S000834809;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AY326563_S000138759;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AY326563_S000138759;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457396_S000834821;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457396_S000834821;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457345_S000834770;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457345_S000834770;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457414_S000834839;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457414_S000834839;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>X68464_S000041020;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>X68464_S000041020;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>EF457379_S000834804;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>EF457379_S000834804;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
>AY234523_S000403456;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Gp1;	>AY234523_S000403456;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Gp1;
